,product_type,product_package_name_ar,product_package_name_en,product_duration,product_package_descr_ar,product_package_descr_en,product_package_validity,value_proposition_ar,value_proposition_en,frequency,label_ar,label_en,product_quantity,roles,price,discounted_price,cat_arabic_name,cat_english_name,product_package_id,product_package_offer_id,l2,l1,priority_for_l2,priority_for_l1
332,featured_ad,إعلان صالح لمدة ٣٠ يوم و مميز لاول ١٤ يوم,"Place 1 Ad for 30 days, Featured for the first 14 days","14 days, 0:00:00",إعلان صالح لمدة ٣٠ يوم و مميز لاول ١٤ يوم,"Place 1 Ad for 30 days, Featured for the first 14 days",30 days,,,,,,1,"{public,single}",60.0,45.0,سيارات للبيع,Cars for Sale,1429,5871,Cars for Sale,Vehicles,1,1.0
333,featured_ad,إعلان مميز لمدة أسبوعين,Featured Ad for 14 days,"14 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,,,,,,1,"{public,single}",51.0,,عقارات تجارية للبيع,Commercials For Sale,788,4099,Commercials For Sale,Properties,3,2.0
334,featured_ad,إعلان مميز لمدة أسبوعين,Featured Ad for 14 days,"14 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,,,,,,1,"{public,single}",51.0,,ابنية ووحدات متعددة,Buildings & Multiple Units,788,4106,Buildings & Multiple Units,Properties,9,2.0
335,featured_ad,باقة Turbo 14 يوما,Turbo Bundle - 14 Days,"14 days, 0:00:00",إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,,🔥,🔥,1,"{public,single}",55.0,52.25,باصات ومركبات ثقيلة,Trucks & Buses,1263,5561,Trucks & Buses,Vehicles,7,1.0
336,featured_ad,إعلان مميز لمدة أسبوعين,Featured Ad for 14 days,"14 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,,,,,,1,"{public,single}",42.0,39.9,مركبات أخرى,Others Vehicles,788,5596,Others Vehicles,Vehicles,9,1.0
337,featured_ad,إعلان مميز لمدة أسبوعين,Featured Ad for 14 days,"14 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,,,,,,1,"{public,single}",42.0,39.9,باصات ومركبات ثقيلة,Trucks & Buses,788,5597,Trucks & Buses,Vehicles,7,1.0
338,featured_ad,8 اعلانات مميزة صالحة لغاية شهرين,8 Featured Ads- valid for 2 months,"14 days, 0:00:00",8 اعلانات مميزة صالحة لغاية شهرين,8 Featured Ads- valid for 2 months,60 days,,,,,,8,"{public,multiple}",176.64,150.0,الأثاث والديكور المنزلي,Home Furniture & Decor,1325,5701,GENERAL,Home Furniture & Decor,6,
339,featured_ad,باقة Turbo 14 يوما,Turbo Bundle - 14 Days,"14 days, 0:00:00",إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,,,,1,"{public,single}",40.0,,شاليهات وكبائن للإيجار,Chalets & Cabins For Rent,1263,5801,Chalets & Cabins For Rent,Properties,8,2.0
340,featured_ad,إعلان صالح لمدة ٣٠ يوم و مميز لاول ١٤ يوم,"Place 1 Ad for 30 days, Featured for the first 14 days","14 days, 0:00:00",إعلان صالح لمدة ٣٠ يوم و مميز لاول ١٤ يوم,"Place 1 Ad for 30 days, Featured for the first 14 days",30 days,,,,,,1,"{public,single}",48.0,44.0,شاليهات وكبائن للإيجار,Chalets & Cabins For Rent,1271,5809,Chalets & Cabins For Rent,Properties,8,2.0
341,featured_ad,8 اعلانات مميزة صالحة لغاية شهرين,8 Featured Ads- valid for 2 months,"14 days, 0:00:00",8 اعلانات مميزة صالحة لغاية شهرين,8 Featured Ads- valid for 2 months,60 days,,,,,,8,"{public,multiple}",151.2,128.0,موبايلات واكسسواراتها,Mobile Phones & Accessories,1325,5700,GENERAL,Mobile Phones & Accessories,4,
342,featured_ad,باقة Turbo 14 يوما,Turbo Bundle - 14 Days,"14 days, 0:00:00",إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,,الأكثر مبيعا,Best Selling,1,"{public,single}",28.0,22.4,المعدات الرياضة,Sports & Equipment,1263,5694,GENERAL,Sports & Equipment,10,
343,featured_ad,باقة Turbo 14 يوما,Turbo Bundle - 14 Days,"14 days, 0:00:00",إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,,,,1,"{public,single}",25.0,15.0,مجوهرات و فوبجو,Jewelry & Faux-Bijoux,1263,5503,Jewelry & Faux-Bijoux,Fashion & Beauty,6,13.0
344,featured_ad,إعلان مميز لمدة أسبوعين,Featured Ad for 14 days,"14 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,,,,الأكثر مبيعا,Best Selling,1,"{public,single}",8.0,4.8,الموضة والجمال,Fashion & Beauty,788,5631,GENERAL,Fashion & Beauty,13,
345,featured_ad,8 اعلانات مميزة صالحة لغاية شهرين,8 Featured Ads- valid for 2 months,"14 days, 0:00:00",8 اعلانات مميزة صالحة لغاية شهرين,8 Featured Ads- valid for 2 months,60 days,,,,,,8,"{public,multiple}",151.2,128.0,الكترونيات وأجهزة منزلية,Electronics & Home Appliances,1325,5699,GENERAL,Electronics & Home Appliances,5,
346,featured_ad,باقة Turbo 14 يوما,Turbo Bundle - 14 Days,"14 days, 0:00:00",إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 14 يوم  يتجدد كل 36 ساعة,Featured Ad for 14 days & Bump up every 36 hours,,🔥,🔥,1,"{public,single}",32.0,30.4,دراجات نارية ورباعية,Motorcycles & ATVs,1263,5558,Motorcycles & ATVs,Vehicles,6,1.0
347,featured_ad,إعلان مميز لمدة ثلاثة أيام,Featured Ad for 3 days,"3 days, 0:00:00",سيظهر إعلانك  في قسم الإعلانات المميزة,Your Ad will appear in the featured Ads section,30 days,,,,,,1,"{public,single}",15.0,,أراضي للإيجار,Lands for Rent,786,5835,Lands for Rent,Properties,6,2.0
